event, 	site, 	night,  time_from_obs_start, 	integration_time, 	sigma
Event751, North, night02,104869.17360007763,280.0, 2.4631179741176292
Event751, North, night02,104879.17360007763,290.0, 2.229715070738527
Event751, South, night01,28338.88592004776,30.0, 1.7539291607744256
Event751, South, night01,28348.88592004776,40.0, 1.82982310784558
Event751, South, night01,28358.88592004776,50.0, 1.443114102218106
Event751, South, night01,28368.88592004776,60.0, 1.4391237695518366
Event751, South, night01,28378.88592004776,70.0, 1.367051075213032
Event751, South, night01,28388.88592004776,80.0, 1.3957844589332356
Event751, South, night01,28398.88592004776,90.0, 1.3809894842450356
Event751, South, night01,28408.88592004776,100.0, 1.3541874850564195
Event751, South, night01,28418.88592004776,110.0, 1.5707382357224196
Event751, South, night01,28428.88592004776,120.0, 1.306104514752542
Event751, South, night01,28438.88592004776,130.0, 1.3364689742274136
Event751, South, night01,28448.88592004776,140.0, 1.4436875435418457
Event751, South, night01,28458.88592004776,150.0, 1.3692919680211042
Event751, South, night01,28468.88592004776,160.0, 1.1518105301103423
Event751, South, night01,28478.88592004776,170.0, 1.0547080812762906
Event751, South, night01,28488.88592004776,180.0, 0.8787452846627769
Event751, South, night01,28498.88592004776,190.0, 0.5782195927046881
