,Num,Ra,Dec,Redshift,Eiso,Liso,Epeak,Duration,Gamma0(H),Gamma0(W),Phflux(15-150),alfa,beta,PhFlux(10-1000)
95,96,193.0324,-53.1491,1.9642207824692808,1.2158679807096025e+54,1.5187803038679866e+53,1731.9200901750128,96.587,345.37199999999996,200.265,9.026,-0.972,-2.478,14.949000000000002
96,97,62.6805,73.9505,6.5486828160148525,6.277518586233062e+53,9.027367483716205e+53,1673.0622938102085,15.206,772.622,306.815,6.8,-1.068,-2.4219999999999997,9.852
97,98,345.248,-18.7738,1.2917507524506429,1.6963644905028821e+52,4.007034968087602e+51,118.99607226007878,29.405,158.067,58.355,3.364,-1.067,-2.5789999999999997,4.743
98,99,167.1579,-1.4768,4.7165639209506205,1.1849875044961952e+53,1.5927773077672486e+53,338.872633789789,13.447000000000001,492.92400000000004,172.21599999999998,5.944,-0.972,-2.668,8.175
99,100,336.9603,15.7282,2.0034808846239653,9.872064802345273e+51,1.8197822449764347e+52,139.2804925151931,4.946000000000001,581.22,127.027,5.292000000000001,-1.084,-2.58,7.56
100,101,277.8972,4.4261,1.1427757909004586,3.2618646717289225e+52,1.6358537081387475e+52,321.2466217638633,8.002,390.155,118.851,9.543,-0.953,-2.34,13.294
101,102,254.6791,29.857,2.7810578357171734,3.5634931479598525e+53,2.2930615831860477e+53,2325.9870337871266,18.167,406.958,182.08700000000002,6.925,-1.115,-2.548,11.175999999999998
102,103,58.0299,18.1099,1.2682359383705606,5.698481217256904e+51,5.641388929062116e+51,73.80862076675977,5.648,514.936,106.921,5.16,-0.9,-2.47,7.593
103,104,300.5672,-36.8314,1.2607438313451889,1.8253041503690694e+53,5.943690710211244e+52,1304.3400095453474,16.97,332.847,142.447,10.939,-0.9840000000000001,-2.501,18.035
104,105,189.7186,44.2877,3.3425875640601723,4.428358008921841e+52,1.0339329739125597e+53,660.1752055478348,5.477,316.433,108.766,5.282,-0.9009999999999999,-2.656,7.26
105,106,197.1144,-40.2077,0.8060830716858658,5.436443245659145e+52,1.6968566487820287e+52,661.0900379960973,14.18,450.24300000000005,142.38,13.082,-1.005,-2.379,20.164
106,107,228.644,20.1895,2.4422981579931973,1.4310510212836358e+53,3.763434305970401e+52,705.625415648087,42.663000000000004,117.555,68.344,3.552,-1.0270000000000001,-2.721,5.071000000000001
107,108,47.3486,-63.4391,1.6317889005034274,1.3625460869954514e+53,1.1190022795420162e+53,584.4917742803664,7.1129999999999995,187.592,92.569,22.254,-0.86,-2.513,32.067
108,109,219.6971,14.1047,1.6018282216163613,4.3124487285654896e+52,7.576548512884833e+51,187.87364976094287,47.847,371.12,120.429,3.239,-0.9790000000000001,-2.502,4.438
109,110,3.8481,-51.2144,1.0527756875219307,1.0225063674461073e+53,1.2873293719930992e+52,361.87673296357946,40.439,122.021,66.247,9.139,-0.953,-2.4659999999999997,12.853
110,111,163.2664,-31.2011,1.4720170185298167,3.0718222964160146e+53,1.9026306545910527e+52,408.2989489460663,143.44299999999998,574.259,223.48,7.117000000000001,-1.1159999999999999,-2.635,10.052999999999999
111,112,147.4004,4.3971,1.1541727710656455,2.0235701950818964e+53,7.035860103109925e+51,600.9216026127539,181.018,475.468,183.80900000000003,2.9589999999999996,-1.06,-2.427,4.391
112,113,165.5296,15.3916,1.9073709688861376,4.2605801065592734e+52,1.5181225276247092e+52,251.22955226884383,32.189,165.429,70.132,3.762,-1.155,-2.452,5.263999999999999
113,114,185.8767,39.3782,1.9589483523678488,2.4859813787211045e+52,1.1452096260514728e+52,144.4219753097196,17.89,114.568,50.183,3.252,-1.011,-2.456,4.602
